City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
63,Ganzhou,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
64,Paradwip,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
65,Kapaa,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
66,East London,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
67,Port Elizabeth,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
68,Port Blair,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
69,Nizhneyansk,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
70,Mar Del Plata,AR,-38.0023,-57.5575,69.1,81,73,4.0,broken clouds
71,Hakkari,TR,41.0155,34.0401,34.63,97,100,1.14,snow
72,Kadykchan,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
73,Awjilah,LY,29.1081,21.2869,58.42,77,100,21.45,overcast clouds
74,Katsuura,JP,35.7333,140.8333,53.89,56,47,12.57,scattered clouds
75,Mehamn,NO,71.0357,27.8492,33.98,74,95,14.34,light snow
76,Shimoda,JP,35.7333,140.8333,53.89,56,47,12.57,scattered clouds
77,Norman Wells,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
78,Koumac,NC,-20.5667,164.2833,83.43,74,100,7.23,overcast clouds
79,Puerto Ayora,EC,-0.7393,-90.3518,76.55,91,98,1.99,overcast clouds
80,Lavrentiya,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
81,Koslan,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
82,Vinstra,NO,71.0357,27.8492,33.98,74,95,14.34,light snow
83,Castro,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
84,San Luis,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
85,Isangel,VU,-19.55,169.2667,81.3,87,98,20.0,overcast clouds
86,Ponta Do Sol,PT,32.6667,-17.1,65.01,74,19,2.21,few clouds
87,Bubaque,GW,11.2833,-15.8333,76.35,58,5,14.14,clear sky
88,Beringovskiy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
89,Mount Gambier,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
90,Marawi,PH,7.9986,124.2928,73.65,64,96,8.01,overcast clouds
91,Gold Coast,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
92,Siderno,IT,38.2779,16.302,47.77,78,1,11.41,clear sky
93,Vaini,TO,-21.2,-175.2,80.47,81,100,21.56,moderate rain
94,Ribeira Grande,PT,39.05,-27.9833,58.03,83,100,17.67,overcast clouds
95,Sigiriya,LK,7.9518,80.7426,79.95,65,100,9.55,overcast clouds
96,Shelburne,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
97,Saint-Pierre,RE,-21.3393,55.4781,83.88,74,13,2.3,few clouds
98,Dikson,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
99,Nizhniy Baskunchak,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
100,Chahal,GT,15.75,-89.5667,65.55,98,82,1.99,broken clouds
101,Henties Bay,NA,-22.116,14.2845,60.85,88,0,5.14,clear sky
102,Phulabani,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
103,Ixtapa,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
104,Faanui,PF,-23.1203,-134.9692,79.61,69,97,13.0,light rain
105,Kralendijk,BQ,12.15,-68.2667,79.43,82,16,20.24,few clouds
106,Codrington,AU,-38.2667,141.9667,74.71,62,69,10.87,broken clouds
107,Bonavista,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
108,Ponta Do Sol,PT,39.05,-27.9833,58.03,83,100,17.67,overcast clouds
109,Cayenne,GF,4.25,-54.3833,71.92,100,100,0.67,moderate rain
110,Vavozh,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
111,Nikolskoye,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
112,Nishiwaki,JP,35.7333,140.8333,53.89,56,47,12.57,scattered clouds
113,Torbay,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
114,Ilhabela,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
115,Khandyga,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
116,Machico,PT,39.05,-27.9833,58.03,83,100,17.67,overcast clouds
117,Florida,UY,-34.4833,-54.3333,56.91,77,0,6.91,clear sky
118,Yasnyy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
119,Northam,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
120,Mecca,SA,21.4267,39.8261,76.24,60,0,1.99,clear sky
121,Barrow,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
122,Khani,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
123,Buraydah,SA,21.4267,39.8261,76.24,60,0,1.99,clear sky
124,Kaitangata,NZ,-46.6,168.3333,58.8,69,5,17.92,clear sky
125,Klyuchi,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
126,Jalu,LY,29.1081,21.2869,58.42,77,100,21.45,overcast clouds
127,Bilibino,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
128,Ancud,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
129,Cidreira,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
130,Butaritari,KI,3.0707,172.7902,81.97,77,77,12.26,broken clouds
131,Oriximina,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
132,Bay Roberts,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
133,Purranque,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
134,Chepareria,KE,1.3077,35.2039,66.45,52,23,4.18,few clouds
135,Nago,JP,35.7333,140.8333,53.89,56,47,12.57,scattered clouds
136,Kenai,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
137,Melilla,ES,35.2937,-2.9383,50.38,81,0,4.61,clear sky
138,Imbituba,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
139,Arraial Do Cabo,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
140,Cuyo,PH,10.8525,121.0086,80.6,83,76,20.02,broken clouds
141,Flinders,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
142,Kamenka,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
143,Aracruz,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
144,Winslow,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
145,Ngama,TD,11.7833,17.1667,73.9,7,47,9.89,scattered clouds
146,Plettenberg Bay,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
147,New Norfolk,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
148,Vardo,NO,71.0357,27.8492,33.98,74,95,14.34,light snow
149,Penzance,GB,50.1186,-5.5371,51.01,96,100,19.01,overcast clouds
150,Margate,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
151,Guerrero Negro,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
152,Saint-Raymond,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
153,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,14.97,clear sky
154,Pevek,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
155,Lumberton,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
156,Anadyr,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
157,Solnechnyy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
158,Bethel,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
159,Dimbokro,CI,6.6451,-4.7048,77.04,83,66,3.56,broken clouds
160,San Ramon,US,37.7799,-121.978,58.53,74,0,3.44,clear sky
161,Coahuayana,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
162,Alice Springs,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
163,Sonari,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
164,Tura,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
165,Taoudenni,ML,18.9048,-3.5265,71.38,21,3,13.98,clear sky
166,Upata,VE,8.0086,-62.3989,73.18,92,10,5.46,clear sky
167,Husavik,IS,66.0449,-17.3389,17.02,89,86,11.7,overcast clouds
168,Novyy Urengoy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
169,Port Lincoln,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
170,Abu Dhabi,AE,24.4667,54.3667,67.96,79,0,9.44,clear sky
171,Kamenskoye,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
172,Khatanga,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
173,Dafeng,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
174,Akureyri,IS,66.0449,-17.3389,17.02,89,86,11.7,overcast clouds
175,Caiaponia,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
176,Tefe,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
177,Lasa,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
178,Revyakino,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
179,Sasina,BA,44.7987,16.739,26.58,89,17,3.67,few clouds
180,Belushya Guba,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
181,Ostrovnoy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
182,Sentyabrskiy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
183,Leningradskiy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
184,Tessalit,ML,18.9048,-3.5265,71.38,21,3,13.98,clear sky
185,Belmonte,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
186,Tuktoyaktuk,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
187,Dakar,SN,14.6937,-17.4441,63.48,88,66,18.59,broken clouds
188,Sai Buri,TH,6.7013,101.6168,83.8,68,20,8.39,few clouds
189,San Patricio,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
190,Lorengau,PG,-2.0226,147.2712,83.03,69,100,6.78,moderate rain
191,Mafinga,TZ,-7.25,35.0667,67.75,87,65,3.8,broken clouds
192,Dwarka,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
193,Aykhal,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
194,San Cristobal,EC,-0.7393,-90.3518,76.55,91,98,1.99,overcast clouds
195,Chokurdakh,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
196,Borgo San Dalmazzo,IT,38.2779,16.302,47.77,78,1,11.41,clear sky
197,Nome,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
198,Gamba,GA,-2.65,10.0,75.56,89,100,3.76,overcast clouds
199,Pisco,PE,-13.7,-76.2167,70.02,86,98,2.37,overcast clouds
200,Nurobod,UZ,40.9056,69.8023,47.25,53,33,2.28,scattered clouds
201,Alofi,NU,-19.0595,-169.9187,81.59,77,60,10.07,broken clouds
202,Basqal,AZ,40.7552,48.391,40.8,74,93,2.06,overcast clouds
203,Sur,OM,22.5667,59.5289,77.86,60,0,5.44,clear sky
204,Constitucion,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
205,Murray Bridge,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
206,Olinda,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
207,Moree,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
208,Haverhill,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
209,Severo-Kurilsk,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
210,Cockburn Town,TC,21.4612,-71.1419,77.23,76,0,6.33,clear sky
211,Lebu,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
212,Terney,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
213,Asfi,MA,32.2994,-9.2372,55.13,84,4,10.33,clear sky
214,Airai,TL,-8.9266,125.4092,74.01,60,79,4.56,broken clouds
215,Caravelas,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
216,Port Alfred,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
217,Kavaratti,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
218,Saldanha,ZA,-33.9258,18.4232,69.35,81,89,13.49,light rain
219,Avera,PF,-23.1203,-134.9692,79.61,69,97,13.0,light rain
220,Hovd,MN,45.7625,106.2708,29.41,27,61,15.39,broken clouds
221,Gorele,TR,41.0155,34.0401,34.63,97,100,1.14,snow
222,Kikwit,CD,-5.041,18.8162,66.92,96,99,1.41,overcast clouds
223,Chadiza,ZM,-14.0678,32.4392,64.6,94,100,2.37,overcast clouds
224,Saskylakh,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
225,Tumannyy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
226,Tutubigan,PH,10.8525,121.0086,80.6,83,76,20.02,broken clouds
227,Vila Franca Do Campo,PT,39.05,-27.9833,58.03,83,100,17.67,overcast clouds
228,Port Macquarie,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
229,Jalingo,NG,8.8833,11.3667,75.81,17,99,2.37,overcast clouds
230,Tiksi,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
231,La Grande,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
232,Mount Isa,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
233,Ketchikan,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
234,Conceicao Do Araguaia,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
235,Cajabamba,PE,-13.7,-76.2167,70.02,86,98,2.37,overcast clouds
236,Morant Bay,JM,17.8815,-76.4093,76.62,80,2,4.92,clear sky
237,Karamay,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
238,Cabo San Lucas,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
239,Fortuna,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
240,Whitehorse,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
241,Attawapiskat,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
242,Prainha,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
243,Menongue,AO,-14.6585,17.691,60.4,98,98,4.5,overcast clouds
244,Vyazma,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
245,Ust-Kuyga,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
246,Shingu,JP,35.7333,140.8333,53.89,56,47,12.57,scattered clouds
247,Fairbanks,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
248,Saint-Philippe,RE,-21.3585,55.7679,83.79,83,42,10.49,scattered clouds
249,Carora,VE,8.0086,-62.3989,73.18,92,10,5.46,clear sky
250,Luau,AO,-14.6585,17.691,60.4,98,98,4.5,overcast clouds
251,Barentsburg,SJ,78.2186,15.6401,10.24,72,0,14.97,clear sky
252,Tolaga Bay,NZ,-46.6,168.3333,58.8,69,5,17.92,clear sky
253,Sao Jose Da Coroa Grande,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
254,Salamanca,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
255,Salvador,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
256,Quartz Hill,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
257,Kysyl-Syr,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
258,Te Anau,NZ,-46.6,168.3333,58.8,69,5,17.92,clear sky
259,Leh,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
260,Cervo,ES,35.2937,-2.9383,50.38,81,0,4.61,clear sky
261,Hanzhong,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
262,Byron Bay,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
263,Harper,LR,4.375,-7.7169,79.68,85,60,8.59,light rain
264,Tadine,NC,-20.5667,164.2833,83.43,74,100,7.23,overcast clouds
265,Boende,CD,-5.041,18.8162,66.92,96,99,1.41,overcast clouds
266,Chernyshevskiy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
267,Rehoboth,NA,-22.116,14.2845,60.85,88,0,5.14,clear sky
268,Cairns,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
269,Dzilam Gonzalez,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
270,Taywarah,AF,33.35,64.4167,33.19,74,48,0.83,scattered clouds
271,Victoria,HK,22.2855,114.1577,79.25,76,35,5.99,scattered clouds
272,Arbazh,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
273,Yuli,NG,9.6989,10.2744,73.85,11,91,5.28,overcast clouds
274,Mackenzie,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
275,Kudahuvadhoo,MV,-0.6,73.0833,84.04,71,77,14.76,broken clouds
276,Waipawa,NZ,-46.6,168.3333,58.8,69,5,17.92,clear sky
277,Srednekolymsk,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
278,Lata,PT,40.1629,-8.3327,44.49,95,28,1.57,scattered clouds
279,Brae,GB,50.1186,-5.5371,51.01,96,100,19.01,overcast clouds
280,Rapar,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
281,Hit,IQ,33.6416,42.8251,63.9,33,100,7.63,overcast clouds
282,Komsomolskiy,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
283,Saint-Augustin,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
284,Valreas,BR,-7.125,-34.9322,75.69,89,71,5.93,broken clouds
285,Dongli,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
286,San Quintin,AR,-33.295,-66.3356,66.78,54,0,6.08,clear sky
287,Gladstone,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
288,Samana,DO,19.2056,-69.3369,72.81,91,56,3.78,broken clouds
289,Yulara,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
290,Tulagi,PT,40.1629,-8.3327,44.49,95,28,1.57,scattered clouds
291,Rawson,AR,-38.0023,-57.5575,69.1,81,73,4.0,broken clouds
292,Aleksandrovskaya,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
293,San Miguel,PH,10.8525,121.0086,80.6,83,76,20.02,broken clouds
294,Svrljig,RS,43.4133,22.1211,31.62,91,99,3.22,overcast clouds
295,Flin Flon,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
296,Tocopilla,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
297,Perth,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
298,Puerto Cabezas,NI,14.0351,-83.3888,73.17,84,0,8.21,clear sky
299,Esperance,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
300,Muscat,OM,22.5667,59.5289,77.86,60,0,5.44,clear sky
301,Aleksandrovka,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
302,Saint-Joseph,RE,-21.3585,55.7679,83.79,83,42,10.49,scattered clouds
303,Salisbury,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
304,North Platte,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
305,Gizo,PT,40.1629,-8.3327,44.49,95,28,1.57,scattered clouds
306,Arman,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
307,Yar-Sale,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
308,Bend,US,34.8791,-76.9013,55.92,93,7,5.37,clear sky
309,Sao Filipe,PT,32.6667,-17.1,65.01,74,19,2.21,few clouds
310,Samarai,PG,-2.0226,147.2712,83.03,69,100,6.78,moderate rain
311,Chuy,UY,-34.4833,-54.3333,56.91,77,0,6.91,clear sky
312,Porbandar,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
313,Poum,NC,-20.5667,164.2833,83.43,74,100,7.23,overcast clouds
314,Namatanai,PG,-2.0226,147.2712,83.03,69,100,6.78,moderate rain
315,Presidencia Roque Saenz Pena,AR,-38.0023,-57.5575,69.1,81,73,4.0,broken clouds
316,Santiago De Cao,PE,-13.7,-76.2167,70.02,86,98,2.37,overcast clouds
317,Hobyo,SO,9.4942,50.8122,78.87,66,35,16.11,scattered clouds
318,Parambu,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
319,Portland,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
320,Raudeberg,NO,71.0357,27.8492,33.98,74,95,14.34,light snow
321,The Valley,AI,18.217,-63.0578,77.09,78,6,16.33,clear sky
322,Ahipara,NZ,-46.6,168.3333,58.8,69,5,17.92,clear sky
323,Yeppoon,AU,-24.8667,113.6333,79.84,50,13,23.94,few clouds
324,Saleaula,BA,44.7987,16.739,26.58,89,17,3.67,few clouds
325,Gouyave,GD,12.1646,-61.7296,77.76,81,7,17.81,clear sky
326,Hami,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
327,Salalah,OM,22.5667,59.5289,77.86,60,0,5.44,clear sky
328,Tuatapere,NZ,-46.6,168.3333,58.8,69,5,17.92,clear sky
329,Matay,EG,31.3525,27.2453,61.79,55,100,15.43,overcast clouds
330,Tubruq,LY,29.1081,21.2869,58.42,77,100,21.45,overcast clouds
331,Gazanjyk,TM,39.2446,55.5154,52.56,58,90,14.56,overcast clouds
332,Tuggurt,DZ,36.0998,0.4206,46.11,55,0,6.49,clear sky
333,Kharan,PK,28.5833,65.4167,66.81,43,36,2.95,scattered clouds
334,Vestmanna,FO,62.1564,-7.1664,40.12,93,75,9.22,broken clouds
335,Nyrob,RU,61.113,44.8302,22.08,89,14,7.16,few clouds
336,Haines Junction,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
337,Malwan,IN,12.15,75.9333,82.67,18,44,6.67,scattered clouds
338,Ipixuna,BR,-5.1989,-35.4608,77.2,86,47,9.1,scattered clouds
339,Kieta,PG,-2.0226,147.2712,83.03,69,100,6.78,moderate rain
340,Balabac,PH,10.8525,121.0086,80.6,83,76,20.02,broken clouds
341,Grindavik,IS,66.0449,-17.3389,17.02,89,86,11.7,overcast clouds
342,Prince Rupert,CA,55.7435,-97.8558,-20.15,98,29,5.44,scattered clouds
343,Marcona,PE,-13.7,-76.2167,70.02,86,98,2.37,overcast clouds
344,Pausesti,RO,45.0667,24.1333,32.05,83,95,0.87,overcast clouds
345,Chifeng,CN,41.7597,86.1469,43.92,31,75,2.01,broken clouds
346,Luderitz,NA,-22.116,14.2845,60.85,88,0,5.14,clear sky
347,Hambantota,LK,7.9518,80.7426,79.95,65,100,9.55,overcast clouds
348,Sola,VU,-19.55,169.2667,81.3,87,98,20.0,overcast clouds
349,Coquimbo,CL,-53.15,-70.9167,46.11,75,57,12.73,broken clouds
