City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Divnogorsk,RU,22.08,few clouds,61.113,44.8302,
632,Kvarkeno,RU,22.08,few clouds,61.113,44.8302,
633,Vredendal,ZA,69.35,light rain,-33.9258,18.4232,
634,Palafrugell,ES,50.38,clear sky,35.2937,-2.9383,
635,Aksu,CN,43.92,broken clouds,41.7597,86.1469,
636,Garbolovo,RU,22.08,few clouds,61.113,44.8302,
637,Linguere,SN,63.48,broken clouds,14.6937,-17.4441,
640,Hamilton,US,58.78,clear sky,37.1041,-113.5841,
641,San Luis,AR,69.1,broken clouds,-38.0023,-57.5575,
642,Comodoro Rivadavia,AR,69.1,broken clouds,-38.0023,-57.5575,
643,Harnosand,SE,32.0,clear sky,62.6323,17.9379,
645,San Pedro,AR,69.1,broken clouds,-38.0023,-57.5575,
646,Kirakira,PT,44.49,scattered clouds,40.1629,-8.3327,
648,Kamaishi,JP,53.89,scattered clouds,35.7333,140.8333,
650,Iracoubo,GF,71.92,moderate rain,4.25,-54.3833,
651,Tawkar,PH,73.65,overcast clouds,7.9986,124.2928,
654,Ocean City,US,55.92,clear sky,34.8791,-76.9013,
655,Sarai Sidhu,PK,66.81,scattered clouds,28.5833,65.4167,
657,Mao,TD,73.9,scattered clouds,11.7833,17.1667,
661,Karauzyak,UZ,47.25,scattered clouds,40.9056,69.8023,
662,Lagos,PT,58.03,overcast clouds,39.05,-27.9833,
664,Batagay-Alyta,RU,22.08,few clouds,61.113,44.8302,
665,College,US,55.92,clear sky,34.8791,-76.9013,
667,Stokmarknes,NO,33.98,light snow,71.0357,27.8492,
672,Wanning,CN,43.92,broken clouds,41.7597,86.1469,
673,Yaan,CN,43.92,broken clouds,41.7597,86.1469,
674,Saint-Francois,FR,31.68,overcast clouds,46.4154,3.9054,
675,Ust-Kut,RU,22.08,few clouds,61.113,44.8302,
676,Taltal,CL,46.11,broken clouds,-53.15,-70.9167,
678,Wahiawa,US,55.92,clear sky,34.8791,-76.9013,
679,Nombre De Dios,AR,66.78,clear sky,-33.295,-66.3356,
680,Ocala,US,55.92,clear sky,34.8791,-76.9013,
681,Necochea,AR,69.1,broken clouds,-38.0023,-57.5575,
683,Qingyuan,CN,43.92,broken clouds,41.7597,86.1469,
685,Calama,CL,46.11,broken clouds,-53.15,-70.9167,
686,Eldikan,RU,22.08,few clouds,61.113,44.8302,
687,San Juan,AR,69.1,broken clouds,-38.0023,-57.5575,
691,Santa Cruz De La Palma,ES,50.38,clear sky,35.2937,-2.9383,
692,Lazaro Cardenas,AR,66.78,clear sky,-33.295,-66.3356,
693,Shitanjing,CN,43.92,broken clouds,41.7597,86.1469,
694,Muriwai Beach,NZ,58.8,clear sky,-46.6,168.3333,
695,Tinos,GR,51.33,overcast clouds,37.5375,25.1634,
696,Macia,MZ,73.09,broken clouds,-25.0269,33.0989,
697,Isla Mujeres,AR,66.78,clear sky,-33.295,-66.3356,
698,Half Moon Bay,US,55.92,clear sky,34.8791,-76.9013,
699,Zolotkovo,RU,22.08,few clouds,61.113,44.8302,
700,Lubango,AO,60.4,overcast clouds,-14.6585,17.691,
701,Omsukchan,RU,22.08,few clouds,61.113,44.8302,
702,Cape Canaveral,US,55.92,clear sky,34.8791,-76.9013,
704,Ust-Kamchatsk,RU,22.08,few clouds,61.113,44.8302,
705,Taksimo,RU,22.08,few clouds,61.113,44.8302,
706,Umm Kaddadah,PH,73.65,overcast clouds,7.9986,124.2928,
707,Suzhou,CN,43.92,broken clouds,41.7597,86.1469,
708,Shibarghan,AF,33.19,scattered clouds,33.35,64.4167,
709,Natchez,US,55.92,clear sky,34.8791,-76.9013,
710,Gerash,IR,57.36,clear sky,28.2211,61.2158,
711,Malvern,US,55.92,clear sky,34.8791,-76.9013,
712,Esil,KZ,20.73,overcast clouds,51.1,66.3167,
